Rk,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,All-NBA
1,63,0,13.4,1,2.2,0.468,0.1,0.2,0.267,1,2,0.492,0.482,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,0
1,7,0,8.7,0.9,2,0.429,0.3,0.7,0.4,0.6,1.3,0.444,0.5,0.7,1.1,0.625,0.7,1.4,2.1,0.6,0.6,0.4,0.3,1.1,2.7,0
1,56,0,14,1.1,2.3,0.472,0,0.2,0.2,1,2.1,0.496,0.48,0.5,0.8,0.667,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2,2.7,0
2,81,20,14.8,1.1,2.3,0.503,0,0,0,1.1,2.3,0.503,0.503,1,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,0
3,28,12,25.2,4.3,8.4,0.515,0,0,0,4.3,8.4,0.515,0.515,2.3,3.4,0.67,2.5,5.3,7.8,1.1,0.6,0.8,1.1,2.6,10.9,0
3,53,12,18.1,2.7,5.2,0.52,0,0,0,2.7,5.2,0.52,0.52,1.4,2.2,0.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2,6.8,0
3,25,0,10.2,0.9,1.6,0.55,0,0,0,0.9,1.6,0.55,0.55,0.5,1,0.52,1.3,2.2,3.5,0.3,0.3,0.6,0.3,1.4,2.3,0
4,73,73,35,6.4,13.8,0.459,1.8,4.1,0.427,4.6,9.7,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0,2,1.9,18.2,0
5,56,30,17,2.4,4.4,0.546,0,0,0,2.4,4.4,0.548,0.546,1,1.2,0.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,0
6,46,2,7.2,0.7,1.3,0.541,0,0,0,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2,2.8,0.3,0.2,0.7,0.4,0.9,2,0
7,69,69,36.2,9.4,20.6,0.458,0,0.2,0.2,9.4,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1,1.8,2.1,23.2,1
8,51,2,18.8,2.3,5.2,0.44,0,0.3,0.154,2.3,5,0.455,0.444,0.5,0.8,0.675,2.1,3.4,5.4,1.3,0.4,0.5,0.8,2.3,5.2,0
8,65,2,16.5,2.1,4.6,0.447,0,0.2,0.154,2,4.4,0.46,0.45,0.5,0.8,0.66,1.8,3,4.8,1.1,0.4,0.5,0.7,1.9,4.7,0
8,14,0,8,1.2,2.4,0.5,0,0,0,1.2,2.4,0.5,0.5,0.4,0.7,0.6,0.9,1.5,2.4,0.4,0.1,0.4,0.3,0.8,2.9,0
9,73,9,26.5,3.3,7.4,0.442,1.6,4.2,0.375,1.7,3.2,0.53,0.549,1.4,1.6,0.905,0.3,2.5,2.8,2,0.7,0.1,1.2,1.6,9.6,0
10,55,28,23.2,3.7,7.5,0.494,0.2,0.9,0.234,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9,0
11,80,65,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1,0.5,1.1,1.8,7.2,0
12,18,0,10.2,0.9,1.8,0.5,0,0,0,0.9,1.8,0.5,0.5,0.3,1.3,0.25,1.6,1.5,3.1,0.3,0.5,0.6,0.8,2.7,2.1,0
12,19,0,9.7,0.8,1.7,0.5,0,0,0,0.8,1.7,0.5,0.5,0.3,1.3,0.25,1.5,1.4,2.9,0.3,0.5,0.6,0.7,2.6,2,0
13,72,0,19.4,2.5,3.8,0.644,0,0.2,0.25,2.4,3.7,0.662,0.649,1.7,2.3,0.71,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,0
14,78,26,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.4,3,0.464,0.487,1.2,1.5,0.78,0.5,1.7,2.2,1,0.6,0.1,0.8,1.9,7.2,0
15,80,62,28.9,3.9,9,0.431,1.4,4.4,0.328,2.4,4.6,0.53,0.511,1,1.3,0.726,0.7,3,3.8,1.9,0.9,0.4,1.3,1.9,10.1,0
16,22,14,36.1,7,16.1,0.438,3,7.5,0.409,4,8.6,0.463,0.532,2.7,2.8,0.952,3,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8,0
17,77,23,24.6,2.2,5.4,0.414,0.5,1.5,0.347,1.7,3.9,0.44,0.463,1.8,2.6,0.683,1,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,0
18,77,77,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6,7,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,0
19,21,0,7.1,0.5,1.2,0.385,0,0,0,0.5,1.2,0.385,0.385,0.1,0.3,0.333,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1,0
19,33,0,5.6,0.4,1,0.375,0,0,0,0.4,1,0.375,0.375,0.1,0.2,0.5,0.5,0.7,1.2,0.1,0.1,0.4,0.1,0.5,0.8,0
19,12,0,3.1,0.2,0.5,0.333,0,0,0,0.2,0.5,0.333,0.333,0.2,0.2,1,0.2,0.4,0.6,0,0,0.3,0.1,0.3,0.5,0
20,50,26,18.5,2.5,5.9,0.418,1.1,3.4,0.327,1.3,2.5,0.545,0.514,1,1.3,0.758,1.1,3,4.2,1.2,0.4,0.2,1.1,2.5,7,0
21,77,77,35.4,5.1,11.1,0.456,2.3,5.7,0.407,2.7,5.3,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4,0
22,15,1,6.5,0.6,1.3,0.474,0,0,0,0.6,1.3,0.474,0.474,0.5,1.1,0.438,1.3,1.9,3.1,0.3,0.3,0.3,0.4,0.7,1.7,0
23,68,1,17.1,2.4,6,0.395,0.4,0.9,0.375,2,5.1,0.399,0.424,0.8,0.9,0.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9,0
24,48,19,20.2,2.1,4,0.532,0,0,0,2.1,4,0.532,0.532,1.6,2.6,0.619,2.1,5.8,7.9,0.5,0.3,0.8,1.2,1.9,5.8,0
25,61,9,30.4,4.8,11.4,0.419,2.2,5.3,0.411,2.6,6.1,0.426,0.514,3.2,3.6,0.882,0.2,1.8,2.1,5,0.9,0,1.9,2.3,14.9,0
25,71,9,27.3,4.2,10.1,0.415,1.9,4.7,0.401,2.3,5.4,0.427,0.508,2.8,3.2,0.885,0.2,1.6,1.8,4.4,0.7,0,1.8,2.1,13.1,0
25,10,0,8.2,0.7,2.4,0.292,0.1,1.1,0.091,0.6,1.3,0.462,0.313,0.6,0.6,1,0,0.4,0.4,1,0.1,0,0.9,0.7,2.1,0
26,26,14,16.5,2,3.9,0.51,0,0,0,2,3.9,0.51,0.51,0.3,0.8,0.4,1.6,3.2,4.8,1.1,1,0.4,1.1,1.8,4.3,0
27,73,10,13,1.4,2.4,0.58,0,0,0,1.4,2.4,0.58,0.58,0.5,0.8,0.691,1.2,2.3,3.5,0.8,0.2,0.3,0.9,2,3.3,0
28,14,0,9.4,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0,0,0,0.3,0.9,1.2,0.2,0.4,0,0.2,0.9,1.6,0
29,27,2,17.5,2.2,5.7,0.39,1.3,3.5,0.379,0.9,2.2,0.407,0.506,0.5,0.7,0.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3,0
30,20,0,18.4,2.8,6.6,0.427,0.4,1.3,0.28,2.5,5.3,0.462,0.454,1.6,2,0.795,0.3,1.6,1.9,1.6,0.4,0.2,1,1.5,7.5,0
31,79,1,18.6,3.2,8.3,0.387,0.9,2.9,0.316,2.3,5.4,0.426,0.443,1,1.3,0.79,0.2,1.7,1.9,3.8,0.3,0,1.6,1.6,8.4,0
32,42,39,29.9,5.3,12,0.442,0.7,2.6,0.278,4.6,9.4,0.487,0.472,2,2.4,0.824,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3,0
33,78,24,28.3,3.5,8.7,0.399,0.8,2.4,0.347,2.6,6.3,0.419,0.448,1.7,2.3,0.718,0.8,3.1,4,1.5,0.8,0.3,1.1,2,9.5,0
34,63,40,27.5,3.7,8.4,0.438,1.5,4.5,0.343,2.1,3.9,0.549,0.53,1,1.4,0.733,1,3.7,4.6,2,0.9,0.4,1.3,2.9,9.9,0
35,41,0,9.4,1.6,3.8,0.417,0.2,0.8,0.303,1.3,3,0.447,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4,0
36,82,73,27.6,4.3,8.8,0.486,0,0.1,0.333,4.3,8.8,0.487,0.487,2.5,2.9,0.858,2,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1,0
37,73,56,20.1,1.4,3.8,0.382,1,2.9,0.348,0.4,0.9,0.492,0.515,0.2,0.3,0.652,0.5,1.4,1.9,0.9,0.7,0.5,0.3,1.7,4.1,0
38,82,82,36,4.6,10,0.465,1.8,4.9,0.361,2.9,5.1,0.566,0.554,2,2.5,0.803,1.4,6,7.5,5.1,0.9,0.7,2.5,1.9,13,0
39,41,14,25.3,3.9,9.2,0.418,1.2,3.1,0.395,2.6,6.1,0.43,0.485,1.2,1.5,0.803,0.3,1.8,2.1,3.1,1,0.1,1.5,2.2,10.1,0
39,72,19,23.4,3.4,8.6,0.402,1.1,2.9,0.358,2.4,5.6,0.425,0.464,1.3,1.6,0.797,0.3,1.7,2,2.7,0.8,0.1,1.1,2.2,9.3,0
39,31,5,21,2.9,7.7,0.377,0.8,2.7,0.301,2.1,5,0.417,0.429,1.5,1.8,0.789,0.3,1.6,1.9,2.1,0.6,0.2,0.7,2.3,8.1,0
40,53,4,9.3,1.3,3.1,0.436,0,0,0,1.3,3.1,0.436,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0,0.1,0.7,1.5,3,0
41,23,15,28,4.8,10.7,0.451,1.4,3.9,0.371,3.4,6.8,0.497,0.518,2,3.2,0.644,0.2,3.1,3.3,3.1,1.3,0.3,2.2,2.6,13.1,0
41,67,15,13.6,2.2,5.1,0.429,0.6,1.9,0.336,1.6,3.2,0.484,0.491,1,1.6,0.606,0.1,1.6,1.7,1.4,0.6,0.2,1.2,1.5,6,0
41,44,0,6.1,0.8,2.2,0.371,0.2,0.9,0.256,0.6,1.3,0.448,0.423,0.4,0.8,0.528,0.1,0.8,0.9,0.5,0.3,0.1,0.6,1,2.3,0
42,73,73,34.7,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11,0.426,0.479,2,2.6,0.788,0.7,3,3.7,3.3,1,0.2,1.8,2.1,17.1,0
43,55,2,15.1,3.2,6.5,0.499,0.4,1,0.389,2.8,5.5,0.518,0.528,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1,1.7,7.9,0
44,80,25,25.2,4.2,8.7,0.485,1.6,3.7,0.43,2.6,5,0.525,0.576,1.4,1.6,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4,0
45,52,0,12.8,1.5,4.3,0.356,0.3,1,0.245,1.3,3.3,0.39,0.384,0.8,1.3,0.638,0.9,2,3,0.3,0.4,0.2,0.9,1.8,4.2,0
46,56,55,31.3,3.6,8.6,0.414,1.6,4.6,0.361,1.9,4,0.473,0.509,1.5,1.8,0.814,1.3,2.2,3.5,2.7,1.4,0.4,1.2,3.1,10.2,0
47,6,0,7.5,0.2,0.2,1,0,0,0,0.2,0.2,1,1,0.2,1,0.167,0.3,2.5,2.8,0,0,0,0.3,1,0.5,0
48,19,7,16.3,1.3,4.2,0.304,0.7,2.5,0.292,0.5,1.6,0.323,0.392,0.5,0.6,0.833,0.2,1.3,1.5,2.2,0.4,0.1,1.3,1.3,3.8,0
49,77,9,13.9,1.1,1.9,0.611,0,0,0,1.1,1.9,0.611,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9,0
50,78,13,15.6,2.7,5,0.534,0,0,0,2.7,5,0.537,0.534,1,1.6,0.636,1.8,2.9,4.7,0.9,0.8,0.3,1,2.5,6.4,0
51,27,27,33,3.3,8.6,0.378,1.9,4.9,0.397,1.3,3.8,0.353,0.489,1,1.3,0.8,0.3,3.5,3.8,7.6,1.3,0.1,2.6,1.8,9.5,0
51,55,28,27.2,2.4,6.4,0.377,1.4,3.8,0.376,1,2.6,0.378,0.489,0.6,0.8,0.767,0.2,2.7,2.9,5.6,1,0.1,1.9,1.5,6.9,0
51,28,1,21.7,1.6,4.3,0.375,1,2.8,0.342,0.6,1.5,0.439,0.488,0.2,0.3,0.625,0.2,1.8,2,3.6,0.7,0.2,1.1,1.3,4.4,0
52,73,7,22.2,4.4,9.2,0.476,0.2,0.7,0.278,4.2,8.5,0.494,0.487,2.2,3,0.742,1.6,3.7,5.3,1.5,1,0.5,1.5,2.3,11.2,0
53,43,40,32.9,6.2,12.9,0.477,1.2,3.3,0.357,5,9.7,0.517,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7,0
54,3,0,5,0.7,1.3,0.5,0,0.3,0,0.7,1,0.667,0.5,0.3,1.7,0.2,0,1,1,0.3,0,0,0.7,0.3,1.7,0
55,6,0,9.2,0.5,1,0.5,0.5,1,0.5,0,0,0,0.75,0.5,0.5,1,0,0.5,0.5,0.5,0.2,0,0.2,0.3,2,0
56,67,67,26.4,3.5,5.6,0.627,0,0,0,3.5,5.6,0.627,0.627,0.3,1,0.344,2.7,7.3,10,1.7,0.7,1.8,1.4,3.1,7.3,0
57,61,0,11.3,1.2,2.7,0.445,0.7,1.6,0.429,0.5,1.1,0.47,0.573,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2,0
58,72,45,21.6,3.1,5.6,0.551,0,0,0,3.1,5.6,0.554,0.551,0.7,1.1,0.618,2.1,3.2,5.3,0.9,0.6,0.6,0.8,1.8,6.8,0
59,76,76,28.2,5.9,12.9,0.456,0,0,0,5.9,12.9,0.457,0.456,1.9,2.5,0.767,1.8,6.5,8.3,1.6,0.7,0.3,2,2.8,13.7,0
60,79,79,32,6.2,12.1,0.516,0.9,2.8,0.339,5.3,9.3,0.569,0.555,2.8,3.4,0.82,1.2,5.4,6.6,1.1,1,1,1.6,2.4,16.2,0
61,60,58,30.9,6,13.8,0.438,1.3,3.3,0.395,4.7,10.4,0.451,0.485,1.5,1.9,0.804,0.8,3,3.8,1.4,1.1,0.2,1.6,2.4,14.9,0
62,73,15,19.4,2.5,4.5,0.539,0,0,0,2.5,4.5,0.542,0.539,0.8,1.3,0.649,1.3,3.6,4.9,1,0.5,1.2,0.8,2.6,5.7,0
63,81,81,32.2,4.8,10,0.481,0.7,2.6,0.28,4.1,7.4,0.552,0.517,2,2.8,0.718,0.8,1.8,2.6,1.7,1.9,0.4,1.3,2.6,12.3,0
64,24,3,6.7,0.1,0.6,0.2,0,0.3,0.125,0.1,0.3,0.286,0.233,0,0.1,0,0.1,0.5,0.6,0.4,0.3,0,0.1,0.2,0.3,0
64,23,3,6.9,0.1,0.7,0.2,0,0.3,0.125,0.1,0.3,0.286,0.233,0,0.1,0,0.1,0.5,0.6,0.4,0.3,0,0.1,0.2,0.3,0
65,29,12,29,4.4,11,0.406,1.4,4,0.362,3,7,0.431,0.472,1.6,1.8,0.902,0.7,2,2.7,5.2,0.9,0.2,2.3,2.4,11.9,0
65,72,12,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,0.484,1.2,1.3,0.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2,9,0
65,43,0,16.7,2.4,6.1,0.395,1.3,3.1,0.409,1.2,3,0.382,0.498,0.9,1,0.841,0.5,0.9,1.4,1.9,0.6,0.1,1.2,1.8,7,0
66,18,0,12.7,2.4,4.9,0.489,0.6,1.1,0.579,1.8,3.8,0.464,0.551,1,1.4,0.692,0.4,1.2,1.7,1.2,0.7,0.2,0.9,0.9,6.4,0
66,35,0,9,1.6,3.6,0.456,0.4,0.7,0.52,1.3,2.9,0.44,0.508,0.9,1.3,0.727,0.3,1.3,1.5,0.7,0.4,0.1,0.7,0.6,4.5,0
66,10,0,7.3,0.9,2.4,0.375,0.2,0.4,0.5,0.7,2,0.35,0.417,1.1,1.4,0.786,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,3.1,0
66,7,0,2.1,0.7,1.9,0.385,0,0.3,0,0.7,1.6,0.455,0.385,0.4,0.6,0.75,0.1,0.6,0.7,0,0.1,0,0,0,1.9,0
67,26,0,8.6,1,3.3,0.302,0.1,1.2,0.1,0.9,2.2,0.411,0.32,0.3,0.5,0.692,0.3,0.8,1.1,1.6,0.5,0.1,0.6,0.7,2.5,0
68,10,1,10.3,0.8,2.8,0.286,0,0.2,0,0.8,2.6,0.308,0.286,0.7,0.9,0.778,0.1,1.2,1.3,0.5,0.1,0,0.8,1.2,2.3,0
68,29,1,8.7,0.8,2.3,0.364,0,0.1,0,0.8,2.2,0.375,0.364,0.5,0.7,0.714,0.2,0.7,1,0.3,0.4,0,0.6,0.8,2.2,0
68,19,0,7.8,0.8,2,0.421,0,0,0,0.8,2,0.421,0.421,0.4,0.6,0.667,0.3,0.5,0.8,0.2,0.6,0,0.5,0.6,2.1,0
69,6,6,29.5,5.2,12.2,0.425,0.5,2.7,0.188,4.7,9.5,0.491,0.445,3,3.5,0.857,0.3,4,4.3,6.3,1.2,0.2,5.7,1.5,13.8,0
70,41,8,18.3,2.4,6.2,0.394,1,2.9,0.35,1.4,3.3,0.433,0.476,0.8,1,0.821,0.5,2,2.5,0.8,0.5,0,0.6,1.4,6.7,0
71,43,0,9.2,1,2.8,0.355,0.5,1.7,0.301,0.5,1.1,0.438,0.446,0.2,0.2,0.778,0.3,1,1.3,0.3,0.2,0,0.3,0.6,2.7,0
72,70,68,32.3,4.9,12.8,0.38,1.6,4.8,0.33,3.3,8,0.41,0.442,1.5,1.6,0.903,0.5,2.4,3,5.7,0.6,0.1,1.9,2.1,12.8,0
73,78,12,28.1,4.9,10.7,0.457,0.6,1.8,0.35,4.2,8.8,0.48,0.487,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14,0
74,34,13,24.1,4,10.4,0.387,1.6,4.3,0.361,2.5,6.1,0.406,0.462,1.4,1.6,0.839,0.5,4.2,4.6,1.6,0.7,0.3,1.5,1.9,11,0
74,56,13,25.3,3.8,9.6,0.394,1.8,4.4,0.394,2.1,5.2,0.395,0.485,1.1,1.3,0.84,0.4,3.7,4.1,1.5,0.8,0.3,1.1,2.1,10.5,0
74,22,0,27.2,3.5,8.5,0.409,2,4.6,0.441,1.4,3.8,0.369,0.53,0.7,0.9,0.842,0.2,3,3.2,1.2,1.1,0.3,0.4,2.5,9.7,0
75,67,67,38.7,4.1,10.3,0.397,1,3.6,0.283,3.1,6.8,0.457,0.446,3.9,5,0.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1,0
76,50,2,7.6,1,2.2,0.464,0.5,1.2,0.419,0.5,1,0.521,0.582,0.2,0.3,0.571,0.1,0.7,0.8,0.3,0.1,0.2,0.2,0.6,2.7,0
77,14,0,10.4,1.1,3.4,0.313,0.4,1.2,0.294,0.7,2.2,0.323,0.365,0.6,0.6,0.889,0.3,1.4,1.6,0.7,0.6,0,0.7,0.8,3.1,0
78,2,0,18,4.5,11,0.409,0,0,0,4.5,11,0.409,0.409,2.5,3.5,0.714,3,6.5,9.5,1,0,0.5,2,1.5,11.5,0
78,26,19,19.8,3.6,8.7,0.418,0,0,0,3.6,8.7,0.418,0.418,1.4,1.9,0.755,2,3.5,5.6,1.1,0.2,1.1,1.3,1.2,8.7,0
78,24,19,20,3.5,8.5,0.419,0,0,0,3.5,8.5,0.419,0.419,1.3,1.8,0.762,2,3.3,5.3,1.1,0.3,1.2,1.3,1.2,8.4,0
79,56,3,18.8,3.3,7.7,0.428,0.4,1.1,0.323,2.9,6.6,0.446,0.451,1.7,2.2,0.802,0.4,1.3,1.8,3.9,0.7,0.1,1.8,2.2,8.7,0
80,71,7,16.5,2,4.4,0.457,0.3,0.9,0.311,1.7,3.5,0.492,0.487,0.6,1,0.611,0.3,1.6,1.9,2.9,0.9,0.1,1.4,1.6,4.9,0
81,81,81,30.5,4.2,9.2,0.456,2.4,5.2,0.449,1.9,4,0.464,0.584,0.6,0.8,0.825,0.4,2,2.4,4.7,0.9,0.1,1.3,1.7,11.4,0
82,80,41,19.8,2.3,5.8,0.396,0.7,2.3,0.319,1.5,3.4,0.447,0.46,0.6,0.8,0.77,0.5,1.5,2,0.7,0.9,0.2,0.4,1.8,5.9,0
83,22,0,11.5,1.4,4,0.356,0.8,2.5,0.327,0.6,1.5,0.406,0.46,1,1.3,0.724,0.3,0.8,1.1,1,0.4,0.2,1,1.1,4.6,0
84,73,73,32.1,4.1,8.8,0.47,1.3,3.7,0.362,2.8,5.1,0.548,0.546,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1,0
85,81,0,24.4,4.1,10,0.407,1.8,4.6,0.394,2.3,5.4,0.418,0.497,2,2.4,0.821,0.8,2.7,3.5,2.6,0.8,0.4,1.3,2.6,11.9,0
86,70,70,34.5,6.1,15.1,0.405,0.8,3,0.264,5.3,12.1,0.44,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3,16.7,0
87,71,2,18.1,2.4,5.8,0.422,0.9,2.5,0.347,1.6,3.3,0.479,0.496,1.2,1.7,0.68,0.8,2.9,3.7,1.2,0.6,0.2,1,1.4,6.9,0
88,73,73,29.8,3.5,7.7,0.454,1.2,3.1,0.385,2.3,4.6,0.5,0.531,1.7,2.2,0.742,0.6,2.4,2.9,4.9,1.6,0.2,2.2,2.9,9.8,0
89,55,55,30.2,3.5,5.9,0.593,0,0,0,3.5,5.8,0.595,0.593,1.8,2.8,0.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7,0
90,62,55,31.1,5,11.9,0.416,2,5.7,0.348,3,6.2,0.478,0.499,1.8,2.5,0.724,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,13.6,0
